"POQL, 30000, Update Interval:1000InitEps:0.9, TargetEps:0.1,AlergiaEps:0.005,Curiosity:5,Freeze:12000"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14000,15000,16000,17000,18000,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000
0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15.0,-4.9,-15.0,-15.0,-15.0,-15.0,-64.9,-15.0,-15.0,-15.0,-15.0,-15.0,135.1,5.1,-62.6,-15.0,-15.0,5.1,-15.0,5.1,-15.0,5.1,-15.0,-15.0,-15.0,5.1,-15.0,-15.0,-4.9,-15.0
150.0,150.0,150.0,150.0,150.0,150.0,53.0,150.0,150.0,150.0,150.0,150.0,53.0,150.0,30.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
