"POQL, 30000, Update Interval:1000InitEps:0.9, TargetEps:0.1,AlergiaEps:0.005,Curiosity:5,Freeze:12000"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000
0,0,0,0,0,0,0,0,0,0,0,0,100
-10.0,7.49,7.89,-10.0,-10.0,-10.0,8.49,7.49,8.49,10.1,8.09,8.09,114.72
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.73
