"POQL, 10000,InitEps:0.9, TargetEps:0.1,AlergiaEps:0.005,Curiosity:None,Freeze:None"
1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
0,0,0,0,0,77,0,0,100,100
-10.0,-10.0,-10.0,-10.0,-10.0,4.63,-10.0,-10.0,9.0,9.0
100.0,100.0,100.0,100.0,100.0,31.47,100.0,100.0,11.0,11.0
