"POQL, 30000"
1000,2000,3000,4000,5000,6000,7000,8000,9000
0,0,0,0,0,0,0,81,100
16.13,3.4,-2.8,12.47,2.99,5.56,-2.62,117.06,134.26
100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.6,49.38
"POQL, 30000"
1000,2000,3000,4000,5000,6000,7000,8000
0,0,0,0,0,0,0,99
-2.8,8.94,9.6,-2.8,4.55,8.91,-1.06,132.94
100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.75
"POQL, 30000"
1000,2000,3000,4000,5000,6000,7000,8000
0,0,0,0,0,1,13,100
-7.9,-1.16,6.31,3.52,7.15,21.3,22.58,136.86
100.0,100.0,100.0,100.0,100.0,99.99,92.74,59.19
