"POQL, 30000"
1000,2000,3000,4000,5000,6000,7000,8000,9000
0,0,0,0,0,0,0,0,100
-8.9,-8.9,-8.9,-5.7,-2.85,-8.9,4.96,-10.8,15.6
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0
